year,T,P,albedo,co2_atm,co2_cap,co2_reg,n2,o2,h2o_ice,h2o_liq,h2o_vap,ghg,biomass,iceFrac,oceanFrac,vegFrac,cloudFrac,progress,progressRaw,phase
0,213.072789,6.210000,0.250321,6.000000,40.000000,260.000000,0.200000,0.010000,40.000000,0,0,0,0,0.186792,0,0,0,0.026148,0,0
10.000000,215.199565,6.264201,0.252050,5.997001,40.000000,260.000000,0.199900,0.009995,39.999531,0,0.017412,0.039893,0,0.186791,0,0,0.008661,0.028199,0,1.000000
20.000000,216.954122,6.420032,0.252358,6.109312,39.884682,260.000000,0.199800,0.009990,39.999424,0,0.021362,0.079567,0,0.186600,0,0,0.010614,0.029559,0,2.000000
30.000000,218.909386,7.637407,0.252055,7.281998,38.708704,260.000000,0.199700,0.009985,39.999280,0,0.026701,0.119024,0,0.184646,0,0,0.013246,0.031075,0,2.000000
40.000000,221.543069,10.272644,0.247513,9.904800,36.081681,260.000000,0.199600,0.009980,39.999999,0,1.996143e-16,0.158264,0,0.180264,0,0,9.436896e-17,0.033081,0,2.000000
50.000000,224.464534,14.413494,0.244541,14.006730,31.973854,260.000000,0.199501,0.009975,39.999999,0,8.468805e-34,0.197289,0,0.173350,0,0,0,0.035312,0,2.000000
60.000000,227.715303,19.861684,0.240573,19.416214,26.556094,260.000000,0.199401,0.009970,39.999999,0,3.592962e-51,0.236099,0,0.164123,0,0,0,0.037712,0,2.000000
70.000000,231.108662,26.295190,0.235812,25.811226,20.149846,260.000000,0.199301,0.009965,39.999999,0,1.524344e-68,0.274697,0,0.153050,0,0,0,0.040118,0,2.000000
80.000000,234.488344,33.372527,0.230480,32.850282,13.096188,260.000000,0.199202,0.009960,39.999999,0,6.467158e-86,0.313084,0,0.140651,0,0,0,0.042421,0,2.000000
90.000000,237.764331,40.835470,0.224751,40.275154,5.653093,260.000000,0.199102,0.009955,39.999999,0,2.743746e-103,0.351259,0,0.127328,0,0,0,0.044576,0,2.000000
100.000000,240.196989,46.261548,0.220520,45.663370,0.243087,260.000000,0.199002,0.009950,39.999999,0,1.164057e-120,0.389226,0,0.117487,0,0,0,0.046063,0,2.000000
110.000000,240.948452,46.595909,0.220331,45.960077,0.004164,259.919283,0.198903,0.009945,39.999999,0,4.938611e-138,0.426984,0,0.117050,0,0,0,0.046325,0,2.000000
