year,T,P,albedo,co2_atm,co2_cap,co2_reg,n2,o2,h2o_ice,h2o_liq,h2o_vap,ghg,biomass,iceFrac,oceanFrac,vegFrac,cloudFrac,progress,progressRaw,phase
0,213.072789,6.210000,0.250321,6.000000,40.000000,260.000000,0.200000,0.010000,40.000000,0,0,0,0,0.186792,0,0,0,0.026148,0,0
10.000000,214.567407,6.233186,0.251965,5.997001,40.000000,260.000000,0.199900,0.009995,39.999554,0,0.016557,0.009733,0,0.186791,0,0,0.008238,0.027647,0,1.000000
20.000000,217.064906,6.388581,0.252426,6.117325,39.876671,260.000000,0.199800,0.009990,39.999404,0,0.022107,0.039359,0,0.186586,0,0,0.010982,0.029629,0,2.000000
30.000000,220.550470,8.124309,0.249444,7.831214,38.159394,260.000000,0.199700,0.009985,39.999881,0,0.004374,0.079036,0,0.183733,0,0,0.002184,0.032100,0,2.000000
40.000000,224.623628,12.080927,0.246179,11.752851,34.232970,260.000000,0.199600,0.009980,39.999999,0,1.855676e-20,0.118496,0,0.177161,0,0,0,0.034899,0,2.000000
50.000000,229.102137,17.805957,0.242032,17.438743,28.539876,260.000000,0.199501,0.009975,39.999999,0,7.872863e-38,0.157739,0,0.167516,0,0,0,0.037843,0,2.000000
60.000000,233.690318,24.660738,0.236981,24.254600,21.713672,260.000000,0.199401,0.009970,39.999999,0,3.340128e-55,0.196766,0,0.155770,0,0,0,0.040702,0,2.000000
70.000000,237.188658,32.072086,0.231417,31.627240,14.327123,260.000000,0.199301,0.009965,39.999999,0,1.417078e-72,0.235580,0,0.142830,0,0,0,0.043055,0,2.000000
80.000000,240.490301,39.744716,0.225548,39.261374,6.680532,259.994791,0.199202,0.009960,39.999999,0,6.012070e-90,0.274181,0,0.129182,0,0,0,0.045212,0,2.000000
90.000000,243.205066,46.382582,0.220635,45.860955,0.389596,259.664663,0.199102,0.009955,39.999999,0,2.550671e-107,0.312570,0,0.117756,0,0,0,0.046921,0,2.000000
100.000000,244.015081,47.381848,0.220333,46.822147,0.006288,259.063567,0.199002,0.009950,39.999999,0,1.082144e-124,0.350748,0,0.117054,0,0,0,0.047277,0,2.000000
110.000000,244.689132,48.118717,0.220328,47.521152,0.000100,258.347173,0.198903,0.009945,39.999999,0,4.591086e-142,0.388718,0,0.117042,0,0,0,0.047557,0,2.000000
