year,T,P,albedo,co2_atm,co2_cap,co2_reg,n2,o2,h2o_ice,h2o_liq,h2o_vap,ghg,biomass,iceFrac,oceanFrac,vegFrac,cloudFrac,progress,progressRaw,phase
0,213.037182,6.210000,0.250321,6.000000,40.000000,300.000000,0.200000,0.010000,40.000000,0,0,0,0,0.186792,0,0,0,0.106864,0,0
10.000000,214.532279,6.233117,0.251958,5.997001,40.000000,300.000000,0.199900,0.009995,39.999555,0,0.016488,0.009733,0,0.186791,0,0,0.008204,0.109126,0,1.000000
20.000000,217.002941,6.332787,0.252450,6.061683,39.932316,300.000000,0.199800,0.009990,39.999408,0,0.021955,0.039359,0,0.186679,0,0,0.010907,0.112426,0,2.000000
30.000000,219.950480,7.342641,0.252630,7.023241,38.967542,300.000000,0.199700,0.009985,39.999172,0,0.030679,0.079036,0,0.185076,0,0,0.015202,0.115883,0,2.000000
40.000000,223.413375,9.536957,0.248014,9.208881,36.777912,300.000000,0.199600,0.009980,39.999999,0,4.155538e-13,0.118496,0,0.181428,0,0,2.078004e-13,0.119353,0,2.000000
50.000000,226.973472,12.979869,0.245554,12.612655,33.368753,300.000000,0.199501,0.009975,39.999999,0,1.763022e-30,0.157739,0,0.175706,0,0,0,0.122771,0,2.000000
60.000000,230.782599,17.552225,0.242264,17.146088,28.856189,299.971768,0.199401,0.009970,39.999999,0,7.479768e-48,0.196766,0,0.168056,0,0,0,0.126249,0,2.000000
70.000000,234.062837,23.933699,0.238292,23.488853,23.474779,299.000381,0.199301,0.009965,39.999999,0,3.173354e-65,0.235580,0,0.158819,0,0,0,0.129393,0,2.000000
80.000000,237.750062,32.394800,0.233757,31.911458,17.417599,296.621244,0.199202,0.009960,39.999999,0,1.346322e-82,0.274181,0,0.148273,0,0,0,0.132938,0,2.000000
90.000000,241.680376,42.845511,0.228722,42.323884,10.797967,292.810035,0.199102,0.009955,39.999999,0,5.711885e-100,0.312570,0,0.136564,0,0,0,0.136725,0,2.000000
100.000000,245.681419,55.034650,0.223271,54.474949,3.752805,287.680074,0.199002,0.009950,39.999999,0,2.423315e-117,0.350748,0,0.123887,0,0,0,0.140595,0,2.000000
110.000000,248.604917,64.862909,0.220413,64.265343,0.107465,281.505057,0.198903,0.009945,39.999999,0,1.028112e-134,0.388718,0,0.117239,0,0,0,0.143426,0,2.000000
120.000000,250.501461,71.688851,0.220330,71.053629,0.002143,274.788309,0.198804,0.009940,39.999999,0,4.361851e-152,0.426478,0,0.117046,0,0,0,0.145269,0,2.000000
130.000000,252.337984,78.811612,0.220328,78.138941,4.067719e-5,267.667862,0.198704,0.009935,39.999999,0,1.850552e-169,0.464032,0,0.117042,0,0,0,0.147076,0,2.000000
140.000000,254.132902,86.281927,0.220328,85.572012,7.415076e-7,260.193963,0.198605,0.009930,39.999999,0,7.851122e-187,0.501380,0,0.117042,0,0,0,0.148864,0,2.000000
150.000000,255.880439,94.058008,0.220328,93.309635,1.307413e-8,252.411681,0.199925,0.009925,39.999999,0,3.330905e-204,0.538523,0,0.117042,0,0,0,0.150625,0,2.000000
160.000000,257.577180,102.107659,0.220328,101.311056,2.242893e-10,244.361665,0.211221,0.009920,39.999999,0,1.413164e-221,0.575462,0,0.117042,0,0,0,0.152358,0,2.000000
170.000000,259.220666,110.395823,0.220328,109.540147,3.761862e-12,236.079922,0.233562,0.009915,39.999999,0,5.995468e-239,0.612198,0,0.117042,0,0,0,0.154060,0,2.000000
180.000000,260.809740,118.890387,0.220328,117.965285,6.193107e-14,227.597968,0.266457,0.009910,39.999999,0,2.543628e-256,0.648734,0,0.117042,0,0,0,0.155725,0,2.000000
190.000000,262.344366,127.563418,0.220328,126.559075,1.003967e-15,218.943108,0.309370,0.009905,39.999999,0,1.079155e-273,0.685068,0,0.117042,0,0,0,0.157352,0,2.000000
200.000000,263.825324,136.390793,0.220328,135.297953,1.606822e-17,210.138826,0.361736,0.009900,39.999999,0,4.578407e-291,0.721204,0,0.117042,0,0,0,0.158941,0,2.000000
210.000000,265.253973,145.351766,0.220328,144.161744,2.544343e-19,201.205231,0.422986,0.009896,39.999999,0,1.942428e-308,0.757141,0,0.117042,0,0,0,0.160490,0,2.000000
220.000000,266.632051,154.428544,0.220328,153.133221,3.992953e-21,192.159491,0.492551,0.009891,39.999999,0,0,0.792881,0,0.117042,0,0,0,0.162000,0,2.000000
230.000000,267.961534,163.605877,0.220328,162.197686,6.219248e-23,183.016253,0.569880,0.009886,39.999999,0,0,0.828425,0,0.117042,0,0,0,0.163471,0,2.000000
240.000000,269.244528,172.870695,0.220328,171.342600,9.625223e-25,173.788016,0.654441,0.009881,39.999999,0,0,0.863774,0,0.117042,0,0,0,0.164904,0,2.000000
250.000000,270.483189,182.211783,0.220328,180.557251,1.481591e-26,164.485450,0.745727,0.009876,39.999999,0,0,0.898929,0,0.117042,0,0,0,0.166300,0,2.000000
260.000000,271.679665,191.619502,0.220328,189.832479,2.270044e-28,155.117686,0.843261,0.009871,39.999999,0,0,0.933891,0,0.117042,0,0,0,0.167661,0,2.000000
270.000000,272.836066,201.085549,0.220328,199.160428,3.464289e-30,145.692549,0.946593,0.009866,39.999999,0,0,0.968662,0,0.117042,0,0,0,0.168987,0,2.000000
280.000000,273.979530,210.605793,0.219974,208.534668,5.268622e-32,136.216446,1.055341,0.009861,39.710466,0.289461,0.002681,1.003242,0,0.116256,0.003610,0,0.001339,0.172521,0,3.000000
290.000000,275.082299,220.194026,0.219715,217.950009,7.988505e-34,126.694546,1.169190,0.009856,38.342758,1.656504,0.027338,1.037632,0,0.112529,0.020423,0,0.013560,0.182725,0,3.000000
300.000000,276.145406,229.843661,0.219560,227.401193,1.208079e-35,117.132085,1.287763,0.009851,35.886595,4.111435,0.073020,1.071834,0,0.105790,0.049672,0,0.035737,0.195832,0,3.000000
310.000000,277.169636,240.039294,0.220124,237.370646,1.822835e-37,107.046545,1.410651,0.009846,32.391091,7.605071,0.142303,1.105848,0,0.096093,0.089285,0,0.068255,0.209154,0,3.000000
320.000000,278.166072,251.214501,0.221727,248.291863,2.744969e-39,96.004010,1.537573,0.009841,27.880868,12.112779,0.235548,1.139675,0,0.083393,0.137105,0,0.109979,0.221741,0,3.000000
330.000000,279.069825,262.616358,0.224341,259.422850,4.126599e-41,84.746166,1.668125,0.009836,22.880868,17.109901,0.342230,1.173317,0,0.069065,0.186082,0,0.154991,0.232414,0,3.000000
340.000000,279.891633,274.041373,0.227593,270.571622,6.194988e-43,73.464966,1.801818,0.009831,17.880868,22.106955,0.451328,1.206774,0,0.054468,0.231145,0,0.198192,0.241083,0,3.000000
350.000000,280.648394,285.484784,0.231269,281.734805,9.289180e-45,62.163778,1.938273,0.009827,12.880868,27.103971,0.561832,1.240048,0,0.039599,0.272607,0,0.239214,0.248405,0,3.000000
360.000000,281.353148,296.942998,0.235206,292.909807,1.391475e-46,50.845186,2.077188,0.009822,7.880868,32.100966,0.673043,1.273139,0,0.024452,0.310755,0,0.277891,0.254754,0,3.000000
370.000000,281.741014,307.442608,0.242186,300.598398,2.082900e-48,39.514345,2.217851,2.550231,2.880868,37.098341,0.770078,1.306049,0.950991,0.009021,0.345858,0.622823,0.309633,0.389118,0.145619,4.000000
380.000000,282.342360,318.106239,0.245948,308.937103,3.115991e-50,28.172748,2.360071,4.621587,0.035736,39.941344,0.848700,1.338778,0.999947,0.000112,0.364561,0.635303,0.334055,0.399953,0.170640,4.000000
390.000000,282.950254,328.764170,0.249257,317.384660,4.658179e-52,16.818555,2.504159,6.618870,0.000171,39.975914,0.885153,1.371328,1.000000,5.388665e-7,0.364783,0.635217,0.345000,0.407281,0.188182,4.000000
400.000000,283.539229,339.428111,0.252498,325.838174,6.959061e-54,5.454289,2.650033,8.615074,8.198762e-7,39.975103,0.921130,1.403700,1.000000,2.581092e-9,0.364777,0.635223,0.355575,0.414303,0.202903,4.000000
410.000000,283.859202,344.970259,0.254378,328.331376,1.039095e-55,0.046955,3.650359,10.610280,3.927086e-9,39.974519,0.942351,1.435893,1.000000,1.236309e-11,0.364774,0.635226,0.361709,0.420366,0.217590,4.000000
420.000000,283.984641,346.887581,0.255072,325.464670,1.551264e-57,0.000188,6.400264,12.604488,1.881016e-11,39.974294,0.950248,1.467910,1.000000,5.926371e-14,0.364772,0.635228,0.363972,0.426017,0.233902,4.000000
430.000000,284.129381,349.655604,0.255883,322.552836,2.315564e-59,7.524123e-7,10.045786,14.597700,9.009789e-14,39.974031,0.959531,1.499752,1.000000,2.831069e-16,0.364770,0.635230,0.366618,0.431869,0.249706,4.000000
440.000000,284.271564,352.422241,0.256683,319.642270,3.455947e-61,3.005305e-9,13.689904,16.589916,4.315556e-16,39.973770,0.968732,1.531419,1.000000,0,0.364769,0.635231,0.369228,0.437565,0.263753,4.000000
450.000000,284.411318,355.187670,0.257471,316.733159,5.157253e-63,1.198667e-11,17.332611,18.581136,2.067088e-18,39.973511,0.977852,1.562912,1.000000,0,0.364767,0.635233,0.371800,0.443118,0.276502,4.000000
460.000000,284.548742,357.951886,0.258249,313.825503,7.695072e-65,4.774225e-14,20.973896,20.571360,9.901044e-21,39.973254,0.986896,1.594232,1.000000,0,0.364765,0.635235,0.374337,0.448539,0.288241,4.000000
470.000000,284.683927,360.714885,0.259016,310.919299,1.148026e-66,1.898973e-16,24.613752,22.560589,4.742454e-23,39.972999,0.995864,1.625381,1.000000,0,0.364764,0.635236,0.376840,0.453839,0.299170,4.000000
480.000000,284.816960,363.476662,0.259773,308.014549,1.712525e-68,7.543305e-19,28.252169,24.548825,2.271565e-25,39.972746,1.004761,1.656359,1.000000,0,0.364762,0.635238,0.379310,0.459027,0.309429,4.000000
490.000000,284.947924,366.237212,0.260520,305.111250,2.554288e-70,2.992587e-21,31.889141,26.536066,1.088046e-27,39.972494,1.013589,1.687167,1.000000,0,0.364761,0.635239,0.381747,0.464110,0.319123,4.000000
500.000000,285.076894,368.996531,0.261258,302.209403,3.809360e-72,1.185737e-23,35.524660,28.522314,5.211581e-30,39.972245,1.022350,1.717805,1.000000,0,0.364759,0.635241,0.384154,0.469096,0.328334,4.000000
