year,T,P,albedo,co2_atm,co2_cap,co2_reg,n2,o2,h2o_ice,h2o_liq,h2o_vap,ghg,biomass,iceFrac,oceanFrac,vegFrac,cloudFrac,progress,progressRaw,phase,releaseRate,capRadius,atmoThickness,dustIntensity,clearFraction,skyR,skyG,skyB,tintR,tintG,tintB
0,213.037182,6.210000,0.250321,6.000000,40.000000,300.000000,0.200000,0.010000,40.000000,0,0,0,0,0.186792,0,0,0,0.106864,0,0,0,0.395439,0.020487,0,0.033816,0.146765,0.115459,0.100924,0.800438,0.865965,0.947127
10.000000,214.532279,6.233117,0.251958,5.997001,40.000000,300.000000,0.199900,0.009995,39.999555,0,0.016488,0.009733,0,0.186791,0,0,0.008204,0.109126,0,1.000000,0,0.395437,0.020563,0,0.033674,0.147131,0.115710,0.101050,0.804079,0.868045,0.946997
20.000000,217.002941,6.332787,0.252450,6.061683,39.932316,300.000000,0.199800,0.009990,39.999408,0,0.021955,0.039359,0,0.186679,0,0,0.010907,0.112426,0,2.000000,0.040084,0.395314,0.020888,0.044538,0.033128,0.148706,0.116792,0.101598,0.810094,0.871482,0.946782
30.000000,219.950480,7.342641,0.252630,7.023241,38.967542,300.000000,0.199700,0.009985,39.999172,0,0.030679,0.079036,0,0.185076,0,0,0.015202,0.115883,0,2.000000,0.155996,0.393557,0.024178,0.173329,0.028557,0.164449,0.127618,0.107086,0.817271,0.875583,0.946526
40.000000,223.413375,9.536957,0.248014,9.208881,36.777912,300.000000,0.199600,0.009980,39.999999,0,4.155538e-13,0.118496,0,0.181428,0,0,2.078004e-13,0.119353,0,2.000000,0.283661,0.389533,0.031290,0.315179,0.021976,0.197316,0.150221,0.118544,0.825702,0.880401,0.946225
50.000000,226.973472,12.979869,0.245554,12.612655,33.368753,300.000000,0.199501,0.009975,39.999999,0,1.763022e-30,0.157739,0,0.175706,0,0,0,0.122771,0,2.000000,0.399620,0.383145,0.042344,0.444023,0.016139,0.245386,0.183277,0.135301,0.834370,0.885354,0.945915
60.000000,230.782599,17.552225,0.242264,17.146088,28.856189,299.971768,0.199401,0.009970,39.999999,0,7.479768e-48,0.196766,0,0.168056,0,0,0,0.126249,0,2.000000,0.535492,0.374456,0.056829,0.594991,0.011928,0.303152,0.222998,0.155432,0.843645,0.890654,0.945584
70.000000,234.062837,23.933699,0.238292,23.488853,23.474779,299.000381,0.199301,0.009965,39.999999,0,3.173354e-65,0.235580,0,0.158819,0,0,0,0.129393,0,2.000000,0.741945,0.363722,0.076680,0.824384,0.008744,0.373492,0.271360,0.179936,0.851631,0.895218,0.945299
80.000000,237.750062,32.394800,0.233757,31.911458,17.417599,296.621244,0.199202,0.009960,39.999999,0,1.346322e-82,0.274181,0,0.148273,0,0,0,0.132938,0,2.000000,0.948916,0.351111,0.102357,1.000000,0.006457,0.451023,0.324657,0.206928,0.860609,0.900348,0.944978
90.000000,241.680376,42.845511,0.228722,42.323884,10.797967,292.810035,0.199102,0.009955,39.999999,0,5.711885e-100,0.312570,0,0.136564,0,0,0,0.136725,0,2.000000,1.137621,0.336615,0.133088,1.000000,0.004879,0.526696,0.376664,0.233252,0.870178,0.905816,0.944636
